Weapon_Used,Monetary_Damage,Gun_Laws,Moon_Phase,Weather
Blunt_Weapon,9.539235169,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,10.53448227,Strict_Gun_Laws,Waxing_Gibbous,Clear
No_Weapon,7.927420668,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,81.15890631,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,10.50823716,Strict_Gun_Laws,Waning_Gibbous,Clear
No_Weapon,9.712456617,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,10.02998424,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,9.996155047,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,10.98689729,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,81.41317237,Strict_Gun_Laws,Waxing_Cresent,Lightning_Storm
No_Weapon,10.55344169,Strict_Gun_Laws,Full_Moon,Clear
Toy_Gun,12.36826261,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,11.78689876,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,11.55734918,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,9.78481989,Strict_Gun_Laws,Third_Quarter,Lightning_Storm
Toy_Gun,80.0998221,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,8.082013126,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,81.81860399,Strict_Gun_Laws,Full_Moon,Earthquake
Toy_Gun,10.96686839,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,80.0175228,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,10.14286645,Strict_Gun_Laws,Waxing_Gibbous,Clear
Toy_Gun,9.415958516,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,10.78530173,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,9.859543022,Strict_Gun_Laws,Waxing_Cresent,Heavy_Fog
Knife,11.47408533,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,10.71462583,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,9.418389534,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,9.368363372,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,8.9540731,Strict_Gun_Laws,Full_Moon,Heavy_Fog
Blunt_Weapon,10.19416099,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,8.282849515,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,79.62424854,Strict_Gun_Laws,Waning_Gibbous,Lightning_Storm
No_Weapon,79.92161993,Strict_Gun_Laws,Full_Moon,Clear
Toy_Gun,80.19455926,Strict_Gun_Laws,Waxing_Gibbous,Tornado
Blunt_Weapon,9.528485181,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,10.80689028,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,10.41383212,Strict_Gun_Laws,First_Quarter,Clear
Toy_Gun,10.34466732,Strict_Gun_Laws,Third_Quarter,Light_Fog
Blunt_Weapon,10.01126262,Strict_Gun_Laws,Waning_Cresent,Light_Fog
Blunt_Weapon,10.26540109,Strict_Gun_Laws,Full_Moon,Lightning_Storm
Blunt_Weapon,79.86259797,Strict_Gun_Laws,Waning_Gibbous,Heavy_Fog
Knife,9.153313668,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,10.31985749,Strict_Gun_Laws,Waning_Cresent,Light_Rain
Toy_Gun,9.348959455,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,9.411910199,Strict_Gun_Laws,Waxing_Gibbous,Clear
Knife,8.167398321,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,11.01978194,Strict_Gun_Laws,Third_Quarter,Light_Fog
Blunt_Weapon,10.88707298,Strict_Gun_Laws,Waxing_Gibbous,Hurricane
Blunt_Weapon,8.993332235,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,79.9170169,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,9.360329426,Strict_Gun_Laws,Full_Moon,Clear
Blunt_Weapon,9.472724334,Strict_Gun_Laws,First_Quarter,Tornado
Blunt_Weapon,9.276795007,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,10.44563207,Strict_Gun_Laws,Full_Moon,Heavy_Fog
No_Weapon,10.4102418,Strict_Gun_Laws,Full_Moon,Light_Rain
Knife,10.0531377,Strict_Gun_Laws,Third_Quarter,Clear
Knife,11.90114039,Strict_Gun_Laws,Full_Moon,Light_Fog
Toy_Gun,10.36891126,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,80.70776047,Strict_Gun_Laws,Waxing_Gibbous,Clear
No_Weapon,12.07755002,Strict_Gun_Laws,Full_Moon,Clear
Blunt_Weapon,10.77000772,Strict_Gun_Laws,Waning_Gibbous,Light_Rain
Toy_Gun,82.22476171,Strict_Gun_Laws,Full_Moon,Clear
No_Weapon,9.748094243,Strict_Gun_Laws,Full_Moon,Clear
No_Weapon,9.443712104,Strict_Gun_Laws,Waxing_Cresent,Lightning_Storm
Toy_Gun,12.1308603,Strict_Gun_Laws,New_Moon,Clear
No_Weapon,10.08517829,Strict_Gun_Laws,Waxing_Cresent,Clear
Knife,80.17135447,Strict_Gun_Laws,New_Moon,Clear
Blunt_Weapon,10.11021423,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,11.0699546,Strict_Gun_Laws,Full_Moon,Tornado
Toy_Gun,11.41116594,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,10.75787047,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Blunt_Weapon,10.75358732,Strict_Gun_Laws,Waxing_Gibbous,Clear
Toy_Gun,10.9701735,Strict_Gun_Laws,Waning_Gibbous,Clear
Knife,10.75938106,Strict_Gun_Laws,Full_Moon,Clear
Knife,9.680424262,Strict_Gun_Laws,Waning_Gibbous,Lightning_Storm
Blunt_Weapon,81.13971417,Strict_Gun_Laws,Waning_Cresent,Clear
No_Weapon,10.10643874,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,9.667906614,Strict_Gun_Laws,Waxing_Gibbous,Light_Rain
Knife,9.233024023,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,81.93607931,Strict_Gun_Laws,First_Quarter,Clear
Toy_Gun,9.848239591,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Toy_Gun,10.03267472,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,9.82320149,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,10.45491291,Strict_Gun_Laws,Full_Moon,Heavy_Fog
Blunt_Weapon,11.41024196,Strict_Gun_Laws,Waxing_Gibbous,Hurricane
Blunt_Weapon,10.47048785,Strict_Gun_Laws,First_Quarter,Clear
Knife,12.62085746,Strict_Gun_Laws,Third_Quarter,Light_Rain
No_Weapon,10.19844385,Strict_Gun_Laws,Waxing_Gibbous,Light_Rain
No_Weapon,9.708596016,Strict_Gun_Laws,Waxing_Gibbous,Heavy_Fog
Toy_Gun,7.414023163,Strict_Gun_Laws,First_Quarter,Light_Rain
Blunt_Weapon,11.06586971,Strict_Gun_Laws,Waning_Gibbous,Clear
Knife,9.907579996,Strict_Gun_Laws,First_Quarter,Clear
Blunt_Weapon,9.198788716,Strict_Gun_Laws,Waning_Gibbous,Heavy_Fog
Blunt_Weapon,9.978492866,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,79.69639703,Strict_Gun_Laws,Waxing_Cresent,Clear
Knife,10.31768662,Strict_Gun_Laws,Waxing_Gibbous,Light_Fog
Knife,8.282021691,Strict_Gun_Laws,Third_Quarter,Light_Rain
No_Weapon,9.925608167,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,80.40216941,Strict_Gun_Laws,Full_Moon,Heavy_Fog
Blunt_Weapon,8.814444283,Strict_Gun_Laws,Waning_Gibbous,Lightning_Storm
Toy_Gun,10.16655375,Strict_Gun_Laws,New_Moon,Clear
Toy_Gun,9.469032697,Strict_Gun_Laws,New_Moon,Clear
Knife,82.24339412,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,10.7371828,Strict_Gun_Laws,Waning_Cresent,Clear
Knife,11.59370265,Strict_Gun_Laws,Third_Quarter,Lightning_Storm
No_Weapon,11.55269052,Strict_Gun_Laws,Waxing_Cresent,Clear
Toy_Gun,80.11079558,Strict_Gun_Laws,First_Quarter,Clear
Knife,80.22259694,Strict_Gun_Laws,Full_Moon,Clear
No_Weapon,10.45411012,Strict_Gun_Laws,Waning_Gibbous,Light_Fog
Toy_Gun,10.49122983,Strict_Gun_Laws,First_Quarter,Clear
Blunt_Weapon,9.382011028,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,9.184427726,Strict_Gun_Laws,Waning_Cresent,Clear
Blunt_Weapon,10.92696623,Strict_Gun_Laws,Waxing_Cresent,Clear
Blunt_Weapon,8.618557784,Strict_Gun_Laws,Waxing_Cresent,Clear
No_Weapon,11.27695715,Strict_Gun_Laws,Full_Moon,Tornado
Toy_Gun,9.012421734,Strict_Gun_Laws,First_Quarter,Light_Fog
Blunt_Weapon,9.686416682,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,9.253599639,Strict_Gun_Laws,First_Quarter,Light_Fog
Toy_Gun,11.19566815,Strict_Gun_Laws,Waning_Cresent,Clear
Toy_Gun,9.278167098,Strict_Gun_Laws,First_Quarter,Clear
No_Weapon,11.06209908,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,8.30608999,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,12.54249013,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,78.4427078,Strict_Gun_Laws,Waxing_Cresent,Clear
Knife,11.04299782,Strict_Gun_Laws,Waxing_Gibbous,Clear
Blunt_Weapon,9.774925344,Strict_Gun_Laws,Third_Quarter,Clear
Knife,80.76130849,Strict_Gun_Laws,Third_Quarter,Clear
Toy_Gun,9.892801334,Strict_Gun_Laws,Waxing_Cresent,Clear
Knife,79.49898092,Strict_Gun_Laws,Full_Moon,Light_Fog
Knife,9.364746614,Strict_Gun_Laws,Waning_Gibbous,Lightning_Storm
Blunt_Weapon,11.47430445,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,9.649686082,Strict_Gun_Laws,Waning_Cresent,Light_Fog
No_Weapon,9.784390772,Strict_Gun_Laws,Third_Quarter,Clear
No_Weapon,9.677117494,Strict_Gun_Laws,Waning_Gibbous,Clear
Blunt_Weapon,9.876469341,Strict_Gun_Laws,Waxing_Cresent,Lightning_Storm
Toy_Gun,11.22854279,Strict_Gun_Laws,Third_Quarter,Light_Fog
Toy_Gun,7.872849292,Strict_Gun_Laws,Full_Moon,Light_Fog
Blunt_Weapon,8.513637021,Strict_Gun_Laws,Third_Quarter,Clear
Knife,12.32264842,Strict_Gun_Laws,First_Quarter,Lightning_Storm
Toy_Gun,9.951180938,Strict_Gun_Laws,Waning_Gibbous,Light_Rain
Toy_Gun,10.19591941,Strict_Gun_Laws,First_Quarter,Heavy_Fog
Knife,9.570656106,Strict_Gun_Laws,First_Quarter,Light_Rain
Knife,9.040887292,Strict_Gun_Laws,Waxing_Gibbous,Lightning_Storm
Knife,7.880934151,Strict_Gun_Laws,Full_Moon,Tornado
Knife,8.802738129,Strict_Gun_Laws,Waning_Gibbous,Clear
